,State1,State2,Corr
540,missouri,wisconsin,0.5845818389332293
318,iowa,nebraska,0.5842615742002998
134,nebraska,iowa,0.5842615742002998
124,florida,iowa,0.5829351485278734
78,iowa,florida,0.5829351485278734
252,missouri,minnesota,0.5788647507763578
275,minnesota,missouri,0.5788647507763578
204,missouri,maine,0.5770316452539259
273,maine,missouri,0.5770316452539259
46,texas,arizona,0.5751061709362761
506,arizona,texas,0.5751061709362761
15,nevada,alaska,0.5633710354226577
337,alaska,nevada,0.5633710354226577
233,north-carolina,michigan,0.560579981140582
394,michigan,north-carolina,0.560579981140582
109,montana,georgia,0.5571171768386787
293,georgia,montana,0.5571171768386787
548,rhode-island,wisconsin,0.5561593517537772
479,wisconsin,rhode-island,0.5561593517537772
412,florida,ohio,0.5494476191533575
90,ohio,florida,0.5494476191533575
21,south-carolina,alaska,0.5484859311709804
481,alaska,south-carolina,0.5484859311709804
508,florida,texas,0.5425068760058895
94,texas,florida,0.5425068760058895
98,arizona,georgia,0.5419067900390476
29,georgia,arizona,0.5419067900390476
196,florida,maine,0.5289993311671076
81,maine,florida,0.5289993311671076
119,wisconsin,georgia,0.5021675024657366
533,georgia,wisconsin,0.5021675024657366
310,texas,montana,0.5005883292697761
517,montana,texas,0.5005883292697761
112,new-hampshire,georgia,0.4915018235566159
365,georgia,new-hampshire,0.4915018235566159
464,louisiana,rhode-island,0.4728734933761995
188,rhode-island,louisiana,0.4728734933761995
127,kansas,iowa,0.4690893831290241
150,iowa,kansas,0.4690893831290241
14,nebraska,alaska,0.46514302703613203
313,alaska,nebraska,0.46514302703613203
425,north-carolina,ohio,0.46444178345499887
402,ohio,north-carolina,0.46444178345499887
153,maine,kansas,0.4402881804338932
199,kansas,maine,0.4402881804338932
372,missouri,new-hampshire,0.4360816384005825
280,new-hampshire,missouri,0.4360816384005825
403,pennsylvania,north-carolina,0.43269800747748466
449,north-carolina,pennsylvania,0.43269800747748466
272,louisiana,missouri,0.4303254342992673
180,missouri,louisiana,0.4303254342992673
162,ohio,kansas,0.43027876945998644
415,kansas,ohio,0.43027876945998644
300,missouri,montana,0.426281460779893
277,montana,missouri,0.426281460779893
520,new-hampshire,texas,0.41745475721890996
382,texas,new-hampshire,0.41745475721890996
477,south-carolina,rhode-island,0.41276688668992906
500,rhode-island,south-carolina,0.41276688668992906
459,arkansas,rhode-island,0.39995413933752866
68,rhode-island,arkansas,0.39995413933752866
245,georgia,minnesota,0.39925560382175695
107,minnesota,georgia,0.39925560382175695
156,missouri,kansas,0.39201839463237204
271,kansas,missouri,0.39201839463237204
380,rhode-island,new-hampshire,0.3894196246896868
