"SAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (Dollars) 2/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"18000","Indiana",19411,20232,21297,22047,23089,24096,25813,26693,28233,28697,28983,29476,30691,31487,33071,33986,35228,34102,35454,37650,39333,39646,41098,42626,43734,45239,47124,48657
"19000","Iowa",19086,19053,20677,21388,23209,24197,25260,25819,27463,28215,28848,29385,31660,32574,34392,36640,38537,37136,38105,40948,42905,43474,44801,46232,46437,47490,50243,52636
"20000","Kansas",20115,20853,21599,22349,23688,24958,26238,26936,28244,29078,29202,29925,30664,32312,35447,37811,40791,39088,39563,42716,45120,45962,46881,47394,47517,48902,51474,53453
"21000","Kentucky",17407,17871,18604,19307,20314,21388,22469,23255,24894,25609,26057,26624,27989,29110,30543,31615,32757,32157,33141,34624,35754,35921,37585,39093,39638,41014,42527,44017
"22000","Louisiana",17066,17809,18840,19630,20409,21352,22283,22731,23943,25561,26171,26793,27744,29699,33385,35966,37891,36457,37649,38706,40554,40912,42686,43036,42726,43941,46245,48008
"23000","Maine",18833,19395,20187,21053,22139,23247,24794,25892,27584,28885,29641,30837,32256,32946,34514,35686,37054,37055,37910,39468,40287,40170,41826,43627,44841,46585,48881,50950
"24000","Maryland",24503,25239,26161,27070,28119,29432,31486,33124,35681,37157,38170,39524,41862,43841,45932,47586,49428,48755,50007,52433,53547,53057,54695,57150,59042,60522,63426,65683
"25000","Massachusetts",24628,25471,26607,27964,29545,31180,32914,34889,38555,39872,39645,40479,42647,44609,47974,50238,51916,50942,53062,55302,57333,57377,59963,63598,65496,68267,71886,74967
"26000","Michigan",20280,21219,22687,23801,24821,25990,27432,28695,30409,30796,30671,31327,32165,32877,33729,34792,35700,34030,35391,37509,39059,39362,41150,43536,44874,46273,48480,50320
"27000","Minnesota",21581,21947,23242,24320,25932,27087,29187,30318,32447,33454,33932,35263,37205,38111,39754,41720,43104,41015,42606,45349,47859,47943,50258,52320,53215,54938,57566,59683
"28000","Mississippi",14888,15667,16737,17488,18386,19221,20180,20684,21640,22781,23136,23989,25192,26703,27840,29368,30479,29855,30902,32160,33308,33853,34547,35025,35618,36389,37904,39368
"29000","Missouri",19578,20265,21296,22236,23321,24507,25564,26416,28001,28716,29193,30082,31456,32387,34024,35397,37054,36182,36823,38339,40131,40323,41775,43096,44336,45759,47784,49589
"30000","Montana",16971,17950,18095,18728,19411,20159,21494,21830,23094,23985,24526,26077,27922,29785,31912,33914,35253,34260,35896,38180,40319,40176,41901,43505,43722,45338,47611,49074
"31000","Nebraska",19984,20478,21617,22593,24371,24915,26454,27552,29020,30213,30532,32223,33499,34510,35869,38390,40225,39264,40920,45426,46562,46596,48953,50594,49711,50707,53364,54871
"32000","Nevada",22554,23360,24335,25379,26667,27534,29291,30292,31871,32340,32030,32996,35163,38103,39793,40201,38734,36078,37228,38551,39659,39285,41505,44092,45001,46954,49290,50883
"33000","New Hampshire",22337,22831,24088,25228,26339,27975,30293,31882,35380,36792,37077,37536,39484,40723,43248,44670,45694,44892,46785,48924,50995,50746,52669,54785,56482,58439,61429,63880
"34000","New Jersey",26713,27374,28110,29588,31052,32804,34660,35989,39257,40306,40626,41425,43208,44775,48015,50723,52005,50149,51420,53694,55587,56054,58670,61130,62727,64946,68409,70979
"35000","New Mexico",16800,17616,18291,19223,19826,20576,21389,21722,23237,24738,25381,26203,27453,28898,30552,31867,33443,32729,33542,35002,35729,35087,37195,38278,38846,39551,41663,43984
"36000","New York",25061,25581,26259,27576,28936,30443,32022,33673,36028,37194,37008,37459,39185,40905,44179,47520,48328,47277,48973,51496,53986,54501,56758,59162,61251,65648,68710,71440
"37000","North Carolina",19236,20085,20951,21987,23040,24251,25454,26262,27540,27878,27896,28688,30590,32283,34324,36138,37687,35802,35682,36764,38969,38201,40069,41857,42659,44192,46126,47803
"38000","North Dakota",17849,18009,19460,19404,21627,21196,23327,23793,25955,26544,27184,29529,29834,31546,32893,36283,40384,39643,43492,47987,55421,53821,56314,53842,52519,52686,55598,57501
"39000","Ohio",20056,20752,21816,22771,23762,25078,26454,27277,28671,29378,29773,30574,31690,32577,34156,35520,36596,35532,36575,39067,40632,41098,42755,44341,45043,46669,48793,50546
"40000","Oklahoma",17399,17910,18537,19173,20126,21072,21992,22377,24096,25464,25853,26911,28862,31312,34355,35182,38568,35338,36541,39038,41467,43097,45542,44249,41876,43649,46267,47951
"41000","Oregon",19546,20452,21475,22663,23974,25015,26063,26792,28561,29037,29019,29759,31238,32496,34909,36003,37067,35481,36122,37818,39602,40020,42493,45194,46514,48407,50951,52937
"42000","Pennsylvania",21250,21930,22616,23583,24743,25967,27327,28451,30393,31551,32066,33043,34868,36301,38032,40219,41512,40390,42047,44205,46018,46412,48434,50382,51619,53155,56252,58775
"44000","Rhode Island",21329,22180,22728,23918,24657,25975,27552,28596,30515,31910,32958,34512,36207,37220,39236,41042,41755,40766,42944,44670,46282,46226,48169,50058,50555,52419,54800,56542
"45000","South Carolina",17316,17991,18867,19765,20755,21728,22947,23789,25152,25747,26179,26786,27906,29171,30892,32264,32962,31727,32458,34073,35570,35731,37624,39499,40406,42081,43702,45314
"46000","South Dakota",18156,18737,19962,20169,22157,22582,24328,25327,26832,27637,27552,29972,31904,33672,35177,38661,40909,39395,41163,44612,45179,45243,46957,48652,48621,49577,52426,53925
"47000","Tennessee",18625,19482,20357,21469,22301,23267,25141,25815,27073,27537,28096,28977,30365,31370,32897,33998,34830,34260,35653,37616,39296,39421,40799,42590,43720,44950,46889,48761
"48000","Texas",18956,19624,20287,21246,22397,23919,25502,26337,28135,29339,29185,29772,30688,32745,35144,36646,39271,36711,38276,41245,43406,43797,46311,46605,45654,47975,50483,52504
"49000","Utah",16401,17115,17933,19019,20183,21288,22284,23078,24266,24930,25208,25739,26984,28832,31306,33123,33857,31833,32156,34198,36140,36729,38524,40876,42385,44032,46431,48395
"50000","Vermont",19627,20218,20977,21885,22883,23999,25667,27112,29109,30744,31241,32344,34113,34975,37099,39006,40904,40275,41444,43785,45354,45941,47802,49581,50795,51992,54342,56691
"51000","Virginia",22398,23192,24098,25035,25973,27360,28992,30615,32693,33954,34455,36139,38164,40259,42494,44272,45437,44122,45495,47771,49586,48858,50761,52899,53611,55317,57910,60116
"53000","Washington",22237,22860,23600,24475,25898,27405,29531,31141,32909,33280,33478,34543,36636,37688,40359,43130,44558,41958,42676,44676,47739,48296,51502,53840,55883,58566,62122,64898
"54000","West Virginia",16277,16780,17480,18037,18767,19587,20453,21057,22331,23749,24504,24759,25587,26839,28554,29513,31258,31361,32319,34127,35116,34945,36152,36914,36929,38645,40907,42336
"55000","Wisconsin",20179,20986,22088,23015,24129,25429,27054,28020,29648,30911,31510,32172,33421,34434,36332,37778,38910,38070,38997,41174,43034,43186,44943,46685,47553,49305,51647,53583
"56000","Wyoming",19583,20419,21034,21818,22693,24282,25741,27488,29519,31161,31546,33195,35120,38240,43567,45363,48593,43738,45714,49985,53524,52892,56710,57107,54617,56377,60375,63316
"91000","New England",24405,25182,26144,27462,28822,30459,32426,34162,37362,38901,38916,39693,41747,43534,46636,49086,51026,50133,52094,54105,55761,55440,57892,60575,62153,64554,68003,70683
"92000","Mideast",24277,24900,25622,26816,28113,29564,31216,32672,35137,36356,36614,37377,39229,40869,43551,46225,47343,46199,47749,50152,52134,52475,54667,56986,58713,61517,64618,67172
"93000","Great Lakes",20762,21513,22663,23713,24853,26105,27609,28628,30347,31115,31377,32009,33142,34149,35840,37310,38333,36844,37989,40199,41909,42446,44297,46196,47118,48699,51047,52870
"94000","Plains",19995,20459,21642,22495,24002,25021,26485,27362,29068,29928,30353,31461,33008,34096,35931,37977,39902,38493,39647,42353,44532,44775,46497,47834,48350,49695,52190,54157
"95000","Southeast",19012,19753,20605,21604,22576,23580,24965,25839,27330,28223,28646,29563,31161,32867,34862,36237,36859,35396,36474,38131,39515,39368,41283,43011,43658,45331,47392,49145
"96000","Southwest",18541,19196,19896,20806,21876,23217,24649,25376,27094,28234,28270,28994,30197,32288,34726,36082,38235,35787,37048,39614,41561,42041,44387,44775,44101,46211,48606,50578
"97000","Rocky Mountain",19200,20135,20928,22053,23185,24306,25987,27195,29199,30025,30032,30599,31813,33658,36102,37864,38650,36333,37099,39599,41681,42692,45314,47029,47472,49744,52458,54769
"98000","Far West",22471,22909,23537,24549,25804,27048,28880,30324,32774,33409,33582,34721,36654,38460,41133,42760,43217,41297,42671,45000,47497,47919,50889,54031,55852,58199,61514,64252
"Legend / Footnotes:"
"2/ Per capita personal income is total personal income divided by total midyear population."
"* Estimates prior to 1950 are not available for Alaska and Hawaii."
"Note-- All dollar estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data."
"Last updated: March 24, 2020-- new statistics for 2019; revised statistics for 2010-2018."
