State,State_abb,Date,ECV,Days out from the Election,dem_poll_prob,fund_Prob,combine_probs
New Mexico,NM,4-Oct,5,30,0.8345,0.929873556,0.872649423
New York,NY,4-Oct,29,30,0.995,0.955163306,0.979065323
North Carolina,NC,4-Oct,15,30,0.5465,0.420459909,0.496083964
North Dakota,ND,4-Oct,3,30,0.0155,0.012254962,0.014201985
Ohio,OH,4-Oct,18,30,0.3295,0.377368882,0.348647553
Oklahoma,OK,4-Oct,7,30,0.016,0.045801796,0.027920718
Oregon,OR,4-Oct,7,30,0.8685,0.984984842,0.915093937
Pennsylvania,PA,4-Oct,20,30,0.8865,0.726190669,0.822376268
Rhode Island,RI,4-Oct,4,30,0.7155,0.929641358,0.801156543
South Carolina,SC,4-Oct,9,30,0.166,0.19643323,0.178173292
South Dakota,SD,4-Oct,3,30,0.0755,0.013020918,0.050508367
Tennessee,TN,4-Oct,11,30,0.0605,0.319544468,0.164117787
Texas,TX,4-Oct,38,30,0.267,0.18556533,0.234426132
Utah,UT,4-Oct,6,30,0.088,0.37877746,0.204310984
Vermont,VT,4-Oct,3,30,0.9575,0.975480881,0.964692352
Virginia,VA,4-Oct,13,30,0.8485,0.74546123,0.807284492
Washington,WA,4-Oct,12,30,0.937,0.977381984,0.953152794
West Virginia,WV,4-Oct,5,30,0.032,0.09967624,0.059070496
Wisconsin,WI,4-Oct,10,30,0.7255,0.756583025,0.73793321
Wyoming,WY,4-Oct,3,30,0.0045,0.006693992,0.005377597
Alabama,AL,14-Oct,9,20,0.043,0.132004383,0.069701315
Alaska,AK,14-Oct,3,20,0.174,0.045289878,0.135386963
Arizona,AZ,14-Oct,11,20,0.5915,0.547332296,0.578249689
Arkansas,AR,14-Oct,6,20,0.1035,0.384865852,0.187909756
California,CA,14-Oct,55,20,0.997,0.990503075,0.995050923
Colorado,CO,14-Oct,9,20,0.9495,0.774968199,0.89714046
Connecticut,CT,14-Oct,7,20,0.8685,0.917809834,0.88329295
Delaware,DE,14-Oct,3,20,0.8215,0.966054366,0.86486631
District of Columbia,DC,14-Oct,3,20,0.991,0.995658298,0.992397489
Florida,FL,14-Oct,29,20,0.652,0.560039266,0.62441178
Georgia,GA,14-Oct,16,20,0.434,0.492344744,0.451503423
Hawaii,HI,14-Oct,4,20,0.953,0.960233819,0.955170146
Idaho,ID,14-Oct,4,20,0.036,0.06905339,0.045916017
Illinois,IL,14-Oct,20,20,0.803,0.980379475,0.856213842
Indiana,IN,14-Oct,11,20,0.0855,0.21694777,0.124934331
Iowa,IA,14-Oct,6,20,0.2555,0.353972678,0.285041804
Kansas,KS,14-Oct,6,20,0.0475,0.086331508,0.059149453
Kentucky,KY,14-Oct,8,20,0.0025,0.245196768,0.07530903
Louisiana,LA,14-Oct,8,20,0.129,0.328407961,0.188822388
Maine,ME,14-Oct,4,20,0.8275,0.920177091,0.855303127
Maryland,MD,14-Oct,10,20,0.965,0.983556382,0.970566914
Massachusetts,MA,14-Oct,11,20,0.9885,0.982387198,0.986666159
Michigan,MI,14-Oct,16,20,0.9795,0.744675179,0.909052554
Minnesota,MN,14-Oct,10,20,0.89,0.929820352,0.901946106
Mississippi,MS,14-Oct,6,20,0.124,0.137180359,0.127954108
Missouri,MO,14-Oct,10,20,0.0855,0.120384995,0.095965499
Montana,MT,14-Oct,3,20,0.0655,0.0787406,0.06947218
Nebraska,NE,14-Oct,5,20,0.2765,0.046977439,0.207643232
Nevada,NV,14-Oct,6,20,0.4895,0.755575633,0.56932269
New Hampshire,NH,14-Oct,4,20,0.854,0.770472938,0.828941882
New Jersey,NJ,14-Oct,14,20,0.9035,0.956705967,0.91946179
New Mexico,NM,14-Oct,5,20,0.8715,0.929873556,0.889012067
New York,NY,14-Oct,29,20,0.9915,0.955163306,0.980598992
North Carolina,NC,14-Oct,15,20,0.6515,0.420459909,0.582187973
North Dakota,ND,14-Oct,3,20,0.0125,0.012254962,0.012426489
Ohio,OH,14-Oct,18,20,0.448,0.377368882,0.426810665
Oklahoma,OK,14-Oct,7,20,0.0265,0.045801796,0.032290539
Oregon,OR,14-Oct,7,20,0.874,0.984984842,0.907295453
Pennsylvania,PA,14-Oct,20,20,0.935,0.726190669,0.872357201
Rhode Island,RI,14-Oct,4,20,0.7705,0.929641358,0.818242407
South Carolina,SC,14-Oct,9,20,0.118,0.19643323,0.141529969
South Dakota,SD,14-Oct,3,20,0.1045,0.013020918,0.077056275
Tennessee,TN,14-Oct,11,20,0.054,0.319544468,0.133663341
Texas,TX,14-Oct,38,20,0.2315,0.18556533,0.217719599
Utah,UT,14-Oct,6,20,0.0685,0.37877746,0.161583238
Vermont,VT,14-Oct,3,20,0.939,0.975480881,0.949944264
Virginia,VA,14-Oct,13,20,0.903,0.74546123,0.855738369
Washington,WA,14-Oct,12,20,0.9545,0.977381984,0.961364595
West Virginia,WV,14-Oct,5,20,0.061,0.09967624,0.072602872
Wisconsin,WI,14-Oct,10,20,0.826,0.756583025,0.805174907
Wyoming,WY,14-Oct,3,20,0.021,0.006693992,0.016708197
Alabama,AL,24-Oct,9,10,0.0635,0.132004383,0.077200877
Alaska,AK,24-Oct,3,10,0.1395,0.045289878,0.120657976
Arizona,AZ,24-Oct,11,10,0.7285,0.547332296,0.692266459
Arkansas,AR,24-Oct,6,10,0.0555,0.384865852,0.12137317
California,CA,24-Oct,55,10,1,0.990503075,0.998100615
Colorado,CO,24-Oct,9,10,0.95,0.774968199,0.91499364
Connecticut,CT,24-Oct,7,10,0.88,0.917809834,0.887561967
Delaware,DE,24-Oct,3,10,0.8405,0.966054366,0.865610873
District of Columbia,DC,24-Oct,3,10,0.991,0.995658298,0.99193166
Florida,FL,24-Oct,29,10,0.8135,0.560039266,0.762807853
Georgia,GA,24-Oct,16,10,0.503,0.492344744,0.500868949
Hawaii,HI,24-Oct,4,10,0.97,0.960233819,0.968046764
Idaho,ID,24-Oct,4,10,0.038,0.06905339,0.044210678
Illinois,IL,24-Oct,20,10,0.8215,0.980379475,0.853275895
Indiana,IN,24-Oct,11,10,0.053,0.21694777,0.085789554
Iowa,IA,24-Oct,6,10,0.3095,0.353972678,0.318394536
Kansas,KS,24-Oct,6,10,0.064,0.086331508,0.068466302
Kentucky,KY,24-Oct,8,10,0.004,0.245196768,0.052239354
Louisiana,LA,24-Oct,8,10,0.079,0.328407961,0.128881592
Maine,ME,24-Oct,4,10,0.823,0.920177091,0.842435418
Maryland,MD,24-Oct,10,10,0.965,0.983556382,0.968711276
Massachusetts,MA,24-Oct,11,10,0.9865,0.982387198,0.98567744
Michigan,MI,24-Oct,16,10,0.991,0.744675179,0.941735036
Minnesota,MN,24-Oct,10,10,0.919,0.929820352,0.92116407
Mississippi,MS,24-Oct,6,10,0.123,0.137180359,0.125836072
Missouri,MO,24-Oct,10,10,0.0465,0.120384995,0.061276999
Montana,MT,24-Oct,3,10,0.056,0.0787406,0.06054812
Nebraska,NE,24-Oct,5,10,0.239,0.046977439,0.200595488
Nevada,NV,24-Oct,6,10,0.6525,0.755575633,0.673115127
New Hampshire,NH,24-Oct,4,10,0.95,0.770472938,0.914094588
New Jersey,NJ,24-Oct,14,10,0.9345,0.956705967,0.938941193
New Mexico,NM,24-Oct,5,10,0.879,0.929873556,0.889174711
New York,NY,24-Oct,29,10,0.995,0.955163306,0.987032661
North Carolina,NC,24-Oct,15,10,0.6625,0.420459909,0.614091982
North Dakota,ND,24-Oct,3,10,0.0065,0.012254962,0.007650992
Ohio,OH,24-Oct,18,10,0.431,0.377368882,0.420273776
Oklahoma,OK,24-Oct,7,10,0.019,0.045801796,0.024360359
Oregon,OR,24-Oct,7,10,0.8745,0.984984842,0.896596968
Pennsylvania,PA,24-Oct,20,10,0.919,0.726190669,0.880438134
Rhode Island,RI,24-Oct,4,10,0.772,0.929641358,0.803528272
South Carolina,SC,24-Oct,9,10,0.0815,0.19643323,0.104486646
South Dakota,SD,24-Oct,3,10,0.097,0.013020918,0.080204184
Tennessee,TN,24-Oct,11,10,0.053,0.319544468,0.106308894
Texas,TX,24-Oct,38,10,0.322,0.18556533,0.294713066
Utah,UT,24-Oct,6,10,0.0735,0.37877746,0.134555492
Vermont,VT,24-Oct,3,10,0.936,0.975480881,0.943896176
Virginia,VA,24-Oct,13,10,0.8945,0.74546123,0.864692246
Washington,WA,24-Oct,12,10,0.963,0.977381984,0.965876397
West Virginia,WV,24-Oct,5,10,0.02,0.09967624,0.035935248
Wisconsin,WI,24-Oct,10,10,0.892,0.756583025,0.864916605
Wyoming,WY,24-Oct,3,10,0.0175,0.006693992,0.015338798
