State,State_abb,state_fips,Date,ECV,Days out from the Election,dem_poll_prob,fund_Prob,combine_probs
Nebraska,NE,31,24-Sep,5,40,0.262,0.046977439,0.154488719
Nevada,NV,32,24-Sep,6,40,0.4915,0.755575633,0.623537816
New Hampshire,NH,33,24-Sep,4,40,0.583,0.770472938,0.676736469
New Jersey,NJ,34,24-Sep,14,40,0.912,0.956705967,0.934352983
New Mexico,NM,35,24-Sep,5,40,0.8315,0.929873556,0.880686778
New York,NY,36,24-Sep,29,40,0.9865,0.955163306,0.970831653
North Carolina,NC,37,24-Sep,15,40,0.501,0.420459909,0.460729955
North Dakota,ND,38,24-Sep,3,40,0.029,0.012254962,0.020627481
Ohio,OH,39,24-Sep,18,40,0.505,0.377368882,0.441184441
Oklahoma,OK,40,24-Sep,7,40,0.037,0.045801796,0.041400898
Oregon,OR,41,24-Sep,7,40,0.7705,0.984984842,0.877742421
Pennsylvania,PA,42,24-Sep,20,40,0.8645,0.726190669,0.795345335
Rhode Island,RI,44,24-Sep,4,40,0.7155,0.929641358,0.822570679
South Carolina,SC,45,24-Sep,9,40,0.1725,0.19643323,0.184466615
South Dakota,SD,46,24-Sep,3,40,0.0755,0.013020918,0.044260459
Tennessee,TN,47,24-Sep,11,40,0.0615,0.319544468,0.190522234
Texas,TX,48,24-Sep,38,40,0.3135,0.18556533,0.249532665
Utah,UT,49,24-Sep,6,40,0.0855,0.37877746,0.23213873
Vermont,VT,50,24-Sep,3,40,0.9005,0.975480881,0.93799044
Virginia,VA,51,24-Sep,13,40,0.8665,0.74546123,0.805980615
Washington,WA,53,24-Sep,12,40,0.8885,0.977381984,0.932940992
West Virginia,WV,54,24-Sep,5,40,0.032,0.09967624,0.06583812
Wisconsin,WI,55,24-Sep,10,40,0.691,0.756583025,0.723791512
Wyoming,WY,56,24-Sep,3,40,0.0045,0.006693992,0.005596996
Alabama,AL,1,14-Sep,9,50,0.062,0.132004383,0.10400263
Alaska,AK,2,14-Sep,3,50,0.1995,0.045289878,0.106973927
Arizona,AZ,4,14-Sep,11,50,0.688,0.547332296,0.603599378
Arkansas,AR,5,14-Sep,6,50,0.161,0.384865852,0.295319511
California,CA,6,14-Sep,55,50,0.979,0.990503075,0.985901845
Colorado,CO,8,14-Sep,9,50,0.887,0.774968199,0.81978092
Connecticut,CT,9,14-Sep,7,50,0.832,0.917809834,0.8834859
Delaware,DE,10,14-Sep,3,50,0.753,0.966054366,0.88083262
District of Columbia,DC,11,14-Sep,3,50,0.991,0.995658298,0.993794979
Florida,FL,12,14-Sep,29,50,0.7735,0.560039266,0.64542356
Georgia,GA,13,14-Sep,16,50,0.423,0.492344744,0.464606847
Hawaii,HI,15,14-Sep,4,50,0.9415,0.960233819,0.952740291
Idaho,ID,16,14-Sep,4,50,0.078,0.06905339,0.072632034
Illinois,IL,17,14-Sep,20,50,0.7905,0.980379475,0.904427685
Indiana,IN,18,14-Sep,11,50,0.1425,0.21694777,0.187168662
Iowa,IA,19,14-Sep,6,50,0.314,0.353972678,0.337983607
Kansas,KS,20,14-Sep,6,50,0.0895,0.086331508,0.087598905
Kentucky,KY,21,14-Sep,8,50,0.0135,0.245196768,0.152518061
Louisiana,LA,22,14-Sep,8,50,0.1765,0.328407961,0.267644776
Maine,ME,23,14-Sep,4,50,0.591,0.920177091,0.788506254
Maryland,MD,24,14-Sep,10,50,0.889,0.983556382,0.945733829
Massachusetts,MA,25,14-Sep,11,50,0.9795,0.982387198,0.981232319
Michigan,MI,26,14-Sep,16,50,0.9645,0.744675179,0.832605107
Minnesota,MN,27,14-Sep,10,50,0.8765,0.929820352,0.908492211
Mississippi,MS,28,14-Sep,6,50,0.155,0.137180359,0.144308215
Missouri,MO,29,14-Sep,10,50,0.1675,0.120384995,0.139230997
Montana,MT,30,14-Sep,3,50,0.059,0.0787406,0.07084436
Nebraska,NE,31,14-Sep,5,50,0.2285,0.046977439,0.119586463
Nevada,NV,32,14-Sep,6,50,0.568,0.755575633,0.68054538
New Hampshire,NH,33,14-Sep,4,50,0.5945,0.770472938,0.700083763
New Jersey,NJ,34,14-Sep,14,50,0.865,0.956705967,0.92002358
New Mexico,NM,35,14-Sep,5,50,0.7335,0.929873556,0.851324134
New York,NY,36,14-Sep,29,50,0.984,0.955163306,0.966697984
North Carolina,NC,37,14-Sep,15,50,0.5115,0.420459909,0.456875945
North Dakota,ND,38,14-Sep,3,50,0.0385,0.012254962,0.022752977
